prompt,response
I have never done programming in my life. Can I take this bootcamp?,"Yes, this is the perfect bootcamp for anyone who has never done coding and wants to build a career in the IT/Data Analytics industry or just wants to perform better in your current job or business using data."
Why should I trust Codebasics?,Till now 9000 + learners have benefitted from the quality of our courses. You can check the review section and also we have attached their LinkedIn profiles so that you can connect with them and ask directly.
Is there any prerequisite for taking this bootcamp ?,"Our bootcamp is specifically designed for beginners with no prior experience in this field. The only prerequisite is that you need to have a functional laptop with at least 4GB ram, an internet connection, and a thrill to learn data analysis."
"What datasets are used in this bootcamp? Is it some toy datasets or
 something that mimics a real-world business problem?",The datasets used in this bootcamp are crafted from scratch to mimic the real business world by consolidating our years of experience. The datasets not just contain more than a million rows but also cover multiple facets of the business.
"I’m not sure if this bootcamp is good enough for me to invest some 
money. What can I do?",We got you covered. Go ahead and watch our youtube videos if you like them and want to learn further then this bootcamp is the perfect extension.
How can I contact the instructors for any doubts/support?,"We have created every lecture with a motive to explain everything in an easy-to-understand manner. While working on these lectures you could make mistakes in steps or have some doubts. You need to commit yourself to hold patience, make efforts & diagnose the errors yourself by googling in order to become truly job ready. For any questions, that Google cannot answer or if you hit a wall - we got you covered! You can join our active discord community. which is a dedicated platform to discuss & clear your doubts with fellow learners & mentors. "
What if I don’t like this bootcamp?,As promised we will give you a 100% refund based on the guidelines (Please refer to our course refund policy before enrolling).
Does this bootcamp have lifetime access?,Yes
What is the duration of this bootcamp? How long will it last?,You can complete all courses in 3 months if you dedicate 2-3 hours per day.
Can I attend this bootcamp while working full time?,Yes. This bootcamp is self-paced. You can learn on your own schedule.
What kind of skills can I expect to learn in this bootcamp?,"You can expect to learn tech skills like Python, Excel, SQL, and Power BI along with other skills like basic project management, stakeholder management, communication skills, and Business knowledge for domains like Finance, Supply chain, Sales, and Marketing."
Do you provide any job assistance?,"Yes, We help you with resume and interview preparation along with that we help you in building online credibility, and based on requirements we refer candidates to potential recruiters."
"Is this bootcamp enough for me in Microsoft Power BI and
 Excel certifications?","Yes, this bootcamp will certainly help because we cover the majority of the skills measured in these exams. However, please be informed that this course focuses on Job ready aspects and not on all aspects required to clear the exams. In addition to this course, you might need to visit the official learning material designed by Microsoft which is available for free on their website."
Do we have an EMI option?,No
Do you provide any virtual internship?,Yes 
Will this bootcamp guarantee me a job?,"The courses included in this bootcamp are done by 9000+ learners and many of them have secured a job which gives us ample confidence that you will be able to get a job. However, we want to be honest and do not want to make any impractical promises! Our guarantee is to prepare you for the job market by teaching the most relevant skills, knowledge & timeless principles good enough to fetch the job."
